Name Count UnitPrice ArrivedDate
X1Phone 1000 2300000 01.01.2025
ProBook 1500 1200000 12.02.2024
TabLite 2000 3400000 15.01.2025
SoundMax 800 450000 15.12.2024
PhotoSnap 600 150000 15.12.2024
SmartWatch 1200 200060 30.06.2023
UltraTV 1100 300000 05.01.2025
GameBox 900 200000 10.08.2024
GTXCard 700 1800000 15.09.2024
GameMouse 1300 22040 15.12.2024
KeyPro 1400 2202200 25.11.2024
DataDrive 1600 310000 30.01.2025
PrintMaster 180000 270 15.12.2024
VoiceBox 1900 1900000 07.02.2025
SnapCam 2000 330000 15.03.2024
